participante;nomeParticipante;tipoParticipante;dataHoraInicioOperacao
02844024;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE DIONÍSIO CERQUEIRA - CRESOL DIONÍSIO CERQUEIRA;IDRT;2020-11-03T09:30:00.000Z
02876918;COOPERATIVA DE CRÉDITO NORTE SUL DA BAHIA LTDA - SICOOB NORTE SUL;IDRT;2020-11-03T09:30:00.000Z
02883398;COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E VALE DO ITAPOCÚ - SICOOB MULTICREDI;IDRT;2020-11-03T09:30:00.000Z
02904125;COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE JACUTINGA - CRESOL JACUTINGA;IDRT;2020-11-03T09:30:00.000Z
02904138;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ÁUREA - CRESOL ÁUREA;IDRT;2020-11-03T09:30:00.000Z
02910987;COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ERECHIM - CRESOL ERECHIM;IDRT;2020-11-03T09:30:00.000Z
02923389;COOPERATIVA DE CRÉDITO SICREDI ARACAJU;IDRT;2020-11-03T09:30:00.000Z
02924977;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFISSIONAIS MÉDICOS E DA SAÚDE DE CURITIBA E REGIÃO METROPOLITANA - SICREDI MEDICRED PR;IDRT;2020-11-03T09:30:00.000Z
02931668;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO RIO DE JANEIRO - SICOOB FLUMINENSE;IDRT;2020-11-03T09:30:00.000Z
02934201;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA LIDERANÇA - CRESOL LIDERANÇA;IDRT;2020-11-03T09:30:00.000Z
02935307;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DAS MICRO-REGIÕES DE GOIÂNIA E ANÁPOLIS LTDA;IDRT;2020-11-03T09:30:00.000Z
03000142;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL E SANTA CATARINA – SICREDI POL RS/SC;IDRT;2020-11-03T09:30:00.000Z
03015152;COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE SÃO VALENTIM - CRESOL SÃO VALENTIM;IDRT;2020-11-03T09:30:00.000Z
03033469;COOPERATIVA DE CREDITO DO PLANALTO SUL - SICOOB CREDISSERRANA;IDRT;2020-11-03T09:30:00.000Z
03042597;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS;IDRT;2020-11-03T09:30:00.000Z
03046391;UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.;DRCT;2020-11-03T09:30:00.000Z
03047549;COOPERATIVA DE CRÉDITO E CAPTAÇÃO SICOOB UNICIDADES;IDRT;2020-11-03T09:30:00.000Z
03065046;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DO ESTADO DE SÃO PAULO - SICREDI NOROESTE SP;IDRT;2020-11-03T09:30:00.000Z
03102185;COOPERATIVA DE CRÉDITO DOS SERVIDORES DA UNIÃO, EMPRESÁRIOS, PROFISSIONAIS AUTÔNOMOS E LIBERAIS - SICOOB CENTRO NORDESTE;IDRT;2020-11-03T09:30:00.000Z
03128973;COOPERATIVA DE CREDITO , POUPANÇA E INVESTIMENTO DO ESTADO DO PIAUÍ - SICREDI PIAUÍ;IDRT;2020-11-03T09:30:00.000Z
03212823;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS MILITARES ESTADUAIS DO RIO GRANDE DO SUL – SICREDI MIL RS;IDRT;2020-11-03T09:30:00.000Z
03234384;UNIPRIME CAMPOS GERAIS - COOPERATIVA DE CRÉDITO LTDA.;IDRT;2020-11-03T09:30:00.000Z
03269540;COOPERATIVA DE CRÉDITO DOS SERVIDORES MILITARES, POLÍCIA CIVIL E DA SECRETARIA DE EDUCAÇÃO DO ESTADO DE MINAS GERAIS LTDA – SICOOB COOPEMG;IDRT;2020-11-03T09:30:00.000Z
03311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;DRCT;2020-11-03T09:30:00.000Z
03320525;COOPERATIVA DE CRÉDITO DO TRIÂNGULO MINEIRO E SÃO FRANCISCO LTDA. - SICOOB ARACOOP;IDRT;2020-11-03T09:30:00.000Z
03323840;BANCO ALFA S.A.;DRCT;2020-11-03T09:30:00.000Z
03326437;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL – SICOOB UNIÃO MT/MS;IDRT;2020-11-03T09:30:00.000Z
03329154;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER LEGISLATIVO FEDERAL E DO DISTRITO FEDERAL - SICOOB LEGISLATIVO;IDRT;2020-11-03T09:30:00.000Z
03358914;COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;IDRT;2020-11-03T09:30:00.000Z
03412878;COOPERATIVA DE CRÉDITO CREDIRAMA LTDA - SICOOB CREDIRAMA;IDRT;2020-11-03T09:30:00.000Z
03419786;COOPERATIVA DE CRÉDITO NOSSA SENHORA DO DESTERRO - SICOOB CREDISC;IDRT;2020-11-03T09:30:00.000Z
03427097;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA;IDRT;2020-11-03T09:30:00.000Z
03428338;SICREDI CREDUNI - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERV DAS INST PÚBLICAS DE ENSINO SUPERIOR DO ESTADO DA PARAÍBA E DAS DEMAIS INSTITUIÇÕES E ÓRGÃOS PÚBLICOS NO ESTADO DA PARAIBA LTDA.;IDRT;2020-11-03T09:30:00.000Z
